No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
135,可,可愛い,かわいい,cute,G5,N1,2
136,仮,仮名/仮,カナ/かり,temporary,G5,N1,2
141,果,果物,くだもの,fruit,G4,N3,2
142,河,河,かわ,river,G5,N2,2
143,苛,苛める,いじめる,to bully,S,N1,2
144,科,科学,かがく,science,G2,N3,2
148,荷,荷物,にもつ,luggage,G3,N2,2
150,菓,お菓子,おかし,sweets (pastries),S,N2,2
155,暇,暇,ひま,free time,S,N1,2
157,靴,靴,くつ,shoe,S,N3,2
162,課,課長,かちょう,section chief ,G4,N2,2
163,蚊,蚊,か,mosquito,S,N1,2
172,介,自己紹介,じこしょうかい,introduction,S,N2,2
174,灰,灰/灰色,はい/はいいろ,ash/gray,G6,N2,2
183,界,世界,せかい,world,G3,N4,2
189,塊,塊,かたまり,"clump, cluster",S,N1,2
191,解,正解,せいかい,correct answer!,G5,N3,2
193,壊,壊れる,こわれる,to break,S,N1,2
194,懐,懐かしい,なつかしい,nostalgia,S,N1,2
202,街,商店街,しょうてんがい,shopping district,G4,N1,2
213,革,革命,かくめい,revolution ,G6,N2,2
214,格,性格,せいかく,personality,G5,N3,2
218,覚,覚える,おぼえる,remember/memorize,G4,N3,2
233,括,括弧,かっこ,parenthesis,S,N1,2
236,渇,のどが渇いてる,のど が かわいてる!,"""I'm thirsty""",S,N1,2
247,干,梅干,うめぼし,pickled plums,G6,N2,2
250,汗,汗,あせ,sweat,S,N2,2
252,完,完璧,かんぺき,perfect,G4,N3,2
256,巻,春巻き,はるまき,spring rolls,G6,N2,2
257,看,看護師,かんごし,nurse,G6,N1,2
259,乾,乾杯,かんぱい！,cheers!,S,N2,2
272,勧,お勧め,すすめる,to recommend,S,N1,2
274,幹,新幹線,しんかんせん,shinkansen,G5,N1,2
287,簡,簡単な,かんたんな,simple,G6,N2,2
295,岩,岩,いわ,boulder,G2,N2,2
296,玩,玩具,おもちゃ,toys,S,N1,2
298,頑,頑張る!,がんばる,good luck/try your best,S,N1,2
306,岐,岐阜県,ぎふけん,Gifu Prefecture,S,N1,2
311,祈,祈る,いのる,pray,S,N2,2
315,既,既に,すでに,as mentioned before/already,S,N1,2
319,鬼,鬼,おに,demon,S,N1,2
324,亀,亀,かめ,turtle,S,N1,2
325,喜,喜び,よろこび,happiness,G4,N3,2
326,幾,幾ら,いくら?,how much?,S,N3,2
329,棋,将棋 ,しょぎ,shogi,S,N1,2
334,器,大器晩成,たいきばんせい,great talents mature late,G4,N1,2
336,輝,輝く,かがやく,shining/sparkling,S,N1,2
337,機,飛行機,ひこうき,airplane,G4,N3,2
339,技,特技,とくぎ,specialty/skill,G5,N2,2
340,宜,宜しく,よろしく,"""Please treat me favorably"" ",S,N1,2
347,擬,擬音語,ぎおんご,onomatopoeia,S,N1,2
349,議,会議,かいぎ,(work) meeting,G4,N3,2
351,吉,吉,きち,good luck,S,N1,2
352,喫,喫茶店,きっさてん,coffee shop/cafe,S,N2,2
357,逆,逆ｘｘｘ,ぎゃくｘｘｘ,opposite of xxx,G5,N2,2
358,虐,虐める,いじめる,"torment, bully",S,N1,2
363,丘,丘,おか,hill,S,N1,2
366,吸,吸う,すう,to smoke (tabaco) or suck,G6,N3,2
375,宮,宮崎県,みやざきけん,Miyazaki Prefecture,G3,N1,2
376,救,救急車,きゅうきゅうしゃ,ambulance,G4,N1,2
382,去,去年,きょねん,last year,G3,N4,2
383,巨,巨人 (進撃の巨人),きょじん（しんげきのきょうじん ,Titan (Attack on Titan),S,N2,2
384,居,居る,いる,to be/exist,G5,N3,2
405,狭,狭い,せまい,narrow,S,N1,2
408,胸,胸,むね,chest,G6,N2,2
412,郷,故郷,ふるさと,hometown,G6,N1,2
416,鏡,鏡,かがみ,mirror,G4,N1,2
417,競,競争,きょうそう,competition,G4,N2,2
419,驚,驚いた！,おどろいた！,suprised,S,N1,2
425,局,郵便局/結局,ゆうびんきょく/けっきょく,post office/afterall-In the end,G3,N3,2
433,菌,ばい菌,ばいきん,germ,S,N1,2
